שם,תפקיד,עיר,תקופה
"חנינה, ישראל",רב קהילה,אגבר♦ - דרום תימן,מאה י״ט־כ׳
חנניה בן ישועה,חכם,---,מאה י״ג
חסדאי בן חטר,סופר,עראס - מרכז תימן,מאוז ט״ו
"חסיד, מאיר סעדיה",מנהיג,טדה וג׳חזאן - דרום תימן,אמצע מאה כ׳
חסן,דיין,צ׳אלע - דרוס תימן,תחילת מאה כ׳
חסן,דיין,מלחה - דרום תימן,תחילת מאה כ׳
חסן בן בנדאר,נגיד תימן',עדן,מאה י״א-י״ב
חסן דוד,דיין,שרעב,מאה י״ט־כ׳
חסן דוד,חכם,צ׳וראן - דרום תימן,תחילת מאה י״ט
חסן בן חיים,מנהיג,מעול-איב ־ דרום תימן,"אמצע מאה י""ט"
חסן יהודה,---,---,---
חסן יוסף,ראב״ד,גוירה - חוגריה,מאה י״ט
חסן בן יחיא,מנהיג,חמדה נונה,"מאה י""ט"
חסן יעיש,דיין וראב״ד,גוירה - חוגריה,מאה י״ט־כ׳
חסן בן יעקב,ראב״ד,מורבעה - שרעב,מאה י״ט־כ׳
חסן ישראל,ריין,ר׳ביה ־ שרעב,מאת י״ט־כ׳
חסן בן סעדיה,סופר,---,מאה י״ז
חסן בן סעדיה,מנהיג,---,מאה י״ט
"חצרוני, מנחם בן שלום",---,---,---
"חראזי, חיים־יחיא בן אברהם",חכם,תנעם - מרכז תימן,מאה י״ז-י״ח
"חראזי, יחיא בן אברהם",---,---,---
"חראזי, יחיא בן אברהם",חכם ומנהיג,יפיר - מרכז תימן,אמצע מאה י״ט
"חראזי, ישועה בן סעדיה",דיין וראב״ד,אעבאר צ׳אפדה,מאת י״ח
"חראזי, סעדיה בן דוד",מממן כת״י וחכם!,תנעם ־ מרכז תימן,מאת ט״ו
"חראזי, סעדיה בן שלום",סופר,---,מאה י״ט
"חראזי, שלום",רב העיר רמת - דרום תימן,---,אמצע המאה הי״ט
"חראזי, שלמה בן סעדיה",---,---,---
"חראץ, יששכר־שוכר יהודה",חכם,מאת י״ט,---
"חריזי, דוד",ראש קהילת צנעא בקרית אלקאבל,---,"מאה י""ט"
"חריזי, דוד בן יוסף",---,---,---
"חרירי, יחיא",חכם,רדאע,מאה י״ט־כ׳
"חרפוף, שלמה",מנהיג,מחנה גאולה,אמצע מאה כ׳
"חרפי, חסן בן סעדיה",---,---,---
"חשישי, יוסף בן יוסף",דיין,דמת - דרום תימן,מאה י״ט
"חתוכא, יחיא בן צאלח",חכם,רדאע,מאה י״ט־כ׳
"חתוכא, צאלח",דיץ,רדאע,מאת י״ט
"חתוכא, צאלח סעדיה",מנהיג,רדאע,אמצע מאה כ׳
"חתוכא, שלום בן צאלח",ראב״ד,רדאע,מאה י״ט־כ׳
"טביב, אברהם",מגהיג,חידאן־צפון תימן - ראשון לציון,מאה
"טביעה, חיים בן דוד",סופר,צ׳וראן ־ דרום תימן,מאה י״ח
"טהירי, אברהם",ריין,צנעא,מאה י״ח
טוב בן אברהם,סופר,דנואר,מאה י״ז
טוב בן חסן,סופר,צנעא,מאה י״ח-י״ט
טוב בן משה,סופר,ררב אלחנשאחת,מאה ט״ז
טובי,---,---,---
"טובי, רצון בן יחיא",רבה של אריתריאה,---,מאה כ׳
טויל,---,---,---
"טוילי, דוד בן כלף",סופר,צנעא,מאה י״ד־ט״ו
"טוילי, זכריה בן אביגד",חכם רסופר,ענבר סעד - אחרית ועזאן,מאה י״ז
"טוילי, יוסף בן דוד",חכם,צנעא,מאה ט״ז
"טוילי, יוסף בן שלמה",נגיד,מרכז תימן,מאה ט״ו-ט״ז
"טוילי, שלמה בן דוד",סופר,קריה אלגלאבי,מאה ט״ז
"טחרר, סעדיה בן חיים",מנהיג,ג׳בלה - ררום תימן,אמצע מאה כ׳
טייבי,---,---,---
"טירי, שלום בן שלמה",מחכמי הישיבה,צנעא,מאה י״ט
"יאפעי, שמריה בן חלפון",חכם,אנס - מרכז תימן,מאה י״ט
"ידאעי, משה בן סעדיה",סופר,---,מאה י״ח
ידידיה בן שר שלום,אלוף צנעא,נציג הגאונים,מאה י׳-י״א
יהודה בן חסן,דיין,דמת - דרום תימן,מאה י״ט
יהודה בן יצחק,חכם,---,מאה י״א־י״ב
יהודה בן מת׳נא,דיין,דמת - דרום תימן,"מאה י ""ט"
יהודה בן סעדיה,סופר,ד׳מאר,מאה י״ז
יהודה בן עמרם,סופר,מרכז תימן,מאה י״ט
יהודה שלום,דיין,שרעב,אמצע מאה כ׳
יהודה בן שלמה,חכם,צעדה - צפון תימן,תחילה מאה י״ך
"יהודה, שלמה יעקב",פייטן,רצאבה,מאה י״ז
יהודה בן שלמה נתן,משורר,---,מאה ט״ו! .
יואל בן ישע,חכם,---,"מחצית ראשונה של המאה הי ""ד"
"יונה, מאיר בן משה",חכם,---,מאה י״טן
יוסף בן אברהם,דיין וראב״ד,צנעא,מאה ט״ז
יוסף בן אברהם,סופר או מזמין כת״י,---,תחילת מאה י״ז
יוסף בן אברהם,מנהיג או דיין,ציח ־ מרכז תימן,מאה י״ז
יוסף בן אברהם בן שת,---,---,---
יוסף בן דוד,מנהיג,צנעא,מאה י״ז
יוסף דוד,ריין,ג׳בל חבשי - שרעב,מאה י״ט־כ׳
יוסף בן הלאל,חכם,חבאן - דרום מזרח תימן,מאה י״ט
יוסף בן זכריה,סופר,---,מאה י״ר
יוסף בן חיים,חכם,---,לפני מאה ט״ז
יוסף חסן,סופר,---,מאה י״ט
יוסף בן חסן,סופר,מעס״ג - רדאע,מאה י״ט
יוסף בן יהושע,רב קהילה,מצ׳מאר,אמצע מאה י״ט
יוסף בן יחיא,מנהיג,צ׳בירה,מאה י״ס
יוסף בן יחיא,מנהיג,ת׳לה ־ מרכז תימן,מאה י״ט
יוסף בן יעקב,---,---,---
יוסף בן יצחק,ריין,צנעא,מאה י״ח
יוסף בן ישראל,משורר,שרעב,"מאה י ""ז"
יוסף בן מצ׳מון,נגיד,---,קודם למאה חט״ז־י״ז
יוסף בן מנצור,חכם וסופר,חבאן ־ דרום מזרח תימן,מאה י״ט
יוסף בן משולם יחיא,רב העיר רחובות,רועאש - שרעב,מאה כ׳
יוסף בן נתנאל,דיין,מצעב - כ׳ולאן,מאה י״ז
יוסף בן סעדיה,דיין,---,מאה ט״ו
יוסף בן סעדיה,דיין,צנעא,מאה י״ז
יוסף בן סעדיה,חכם,---,מאה י״ח
יוסף בן סעדיה,סופר,בעמייח,מאה י״ח
יוסף בן סעדיה,חכם וסופר,כפר סמוך לצנעא,מאה י״ט
יוסף בן סעדיה בן יפת,חכם,---,"מאה י ""ט"
"יוסף, סעדיה בן שלום",חכם!,---,מאה כ׳
יוסף בן סעדיה בן שמואל,סופר,תימן - ארצות המזרח,מאה ט״ו
יוסף בן עואץ,חכם,חדאד - דרום תימן,מאה כ׳
יוסף בן עמרם בן עודד,סופר,עמראן - מרכז תימן,אמצע מאה י״ז
יוסף בן רחבי,חכם וסופר,בית אלדראב - רחבה - מרכז תימן,"מאה י""ט"
יוסף בן שוכר,סופר,---,מאה י״ז
יוסף בן שוכר,סופר,מרכז תימן,מאה י״ט
יוסף בן שלום,סופר,סודה לצף,מאה י״ז
יוסף בן שלום,שוחט ובודק,מוכ׳א - מערב תימן,אמצע מאה י״ט
יחיא,נשיא,שיבאם - מרכז תימן,אמצע מאה י״ט
יחיא,נשיא,וע׳לא - מרכז תימן,אמצע מאה י״ס
יחיא,סופר,ג׳יל אלגוף - צפון תימן,סוף מאה י״ס
יחיא,ריין,גב - אנס ־ מרכז תימן,מאה כ׳
יחיא בן אברהם,מנהיג,עותמה - מרכז הימן,מאה י״ט
יחיא אברהם,ראב״ד ורב ראשי,ערן,אמצע מאה כ׳
יחיא בן אברהם,מנהיג,צפון תימן,מאה כ׳
יחיא בן אברהם יחיא,סופר,סנואן - חוגריה,"מאה י ""ט"
יחיא בן אברהם בן צאלח,סופר,---,מאה י״ח־י״ט
יחיא בן אהרן,סופר,---,מאה י״ח-י״ט
יחיא בן אהרן,מחכמי הישיבה,צנעא,מאה י״ט
יחיא בן דוד,---,---,---
יחיא בן חסן,סופר,ת׳לא ■ מרכז תימן,מאה י״ד
יחיא בן חסן,חכם וסופר,---,מאה י״ט
יחיא חסן,דיין,אלחביל - דרום תימן,תחילת מאה כ׳
יחיא יוסף,דיין,דמת - דרום תימן,מאה י״ט
יחיא בן יוסף,מגהיג,אדוכם אלמדאגר,מאה י״ט
יחיא בן יחיא,חכם,ת׳לא - מרכז תימן,תחילת מאה כ׳
יחיא בן יחיא בן משה,סופר,חלונא דמליא,מאה י״ט
יחיא בן יעקב סאלם,---,---,---
יחיא בן כלף,דיין,ד׳מאר,מאה י״ז
יחיא בן מפצ׳ל,---,---,---
יחיא בן מקבל,דיין,עדן,אמצע מאה י״ב
יחיא בן משה,מנהיג,---,מאה י״ח
יחיא בן משה,חכם וסופר,---,"מאה *""ח"
יחיא בן משה,דיין,צעדת - צפון תימן,מאה כ׳
יחיא בן סגול,ראש הקהילות׳/ עדן,---,מאה י״ג
יחיא בן סעד,מגדולי חכמי תימן,עדן,מאה י״ג
יחיא בן סעדיה,מנהיג,ד׳מאר,מאה י״ח
יחיא בן סעדיה,סופר,---,מחצית ראשונה מאה י״ט
יחיא בן סעדיה,ראש קהילה,כפר מ<ח ־ מזרח תימן,מאה י״ט
יחיא בן סעדיה בן יעקב,סופרז,---,מאה ט״ז
יחיא בן צאלח,מנחיג,סדה - דרום תימן,אמצע מאה כ׳
יחיא בן שלום,חכם,עדן,מאה י״ג
יחיא בן שלום,מנהיג,---,מאה י״ס
יחיא בן שלום,סופר,---,מאה י״ס
יחיא בן שלום,דיין,אלחדיף ־ דרום תימן,תחילת מאה כ׳
יחיא בן שלום בן אברהם,דיין וראב״ד,דמת ־ דרום תימן,מאה י״ט
יחיא בן שלמה,חכם,---,לפני המאה הט״ז
יחיא בן שלמה,מנהיג,ת׳לא ־ מרכז תימן,מאה י״ש
יחיא בן שלמה,דיין וראב״ד,דמת ־ דרום תימן,"אמצע אמה י""ט"
יחיא בן שלמה,סופר,---,מאה י״ט
יחיא בן שלמה,ריין,מוראן - צפון תימן,תחילת מאה כ׳
"ייטב, משה",מנהיג וריין,ביר עאור,מאה י״ז
"ימני, אברהם בן שלמה",ריין וראיס,תימן - ירושלים,מאה י״א־י״ב
"ימני, זכריה בן סעדיה",סופר והיסטוריון!,---,מאה עשירית.
"ימני, חיים בן חיים",חכם ומנהיג,מנאכ׳ה - קרית אונו,מאה כ׳
"ימני, יוסף בן שלום בן שלום",סופר,---,מאה י״ט
"ימני, יעקב בן סעדיה",סופר,מאת י״ט,---
"ימני, שלום בן אברהם",סופר,עבר,מאה כ׳
"ימני, שלום בן מרי חיים",פעיל ציבור וסופר,מנאכ׳ה - קרית אונו,מאה כ׳
"ימני, שלמה",חכם וראיס,תימן - ירושלים,מאה י״א-י״ב
"ימני, שמעון בן שלמה",סופר,בית עגל - מרכז תימן,מאה כ׳
"יעבץ, יעקב בן סעדיה",ראב״ד ורב ראשי,צעדה - צפון תימן,מאה י״ט
"יעבץ, עובדיה בן יעקב",מנהיג,צעדה - צפון תימן,מאה י״ט־כ׳
"יעיש, מוסא",ראב״ד ודיין,גוירה־חוגריה - דרום הימן,מאה י״ט־כ׳
יעקב בן אברהם,סופר,צנעא,מאה י״ח־י״ט
יעקב בן אהרן,דיין וראב״ד,עדן,מאה י״ט
יעקב אפרים,מנהיג,שרעב,אמצע מאה כ׳
יעקב יחיא חיים,מנהיג,מלכד - מחת עמאר,מאה כ׳
יעקב מוסא,---,---,---
